,state,city,company,rank,rank_change,revenue,profit,num..of.employees,sector,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market.Cap,lat,lng,ranking_in_groups
602,NY,New York,Univision Communications,837,0,2703.8,286.8,4500,Media,,no,no,yes,NA,Vincent L. Sadusky,https://corporate.univision.com,,,40.6943,-73.9249,5
603,NY,New York,AMC Networks,771,0,3060.3,380.5,2588,Media,,no,no,yes,NA,Joshua W. Sapan,https://www.amcnetworks.com,AMCX,1350.7,40.6943,-73.9249,4
604,NY,New York,New York Life Insurance,73,-2,44116.6,1003.8,11519,Financials,no,no,no,yes,71,Theodore A. Mathas,https://www.newyorklife.com,,-,40.6943,-73.9249,1
605,NY,New York,Warner Music Group,598,0,4475,256,5400,Media,,no,no,yes,NA,Stephen F. Cooper,https://www.wmg.com,WMG,19638,40.6943,-73.9249,3
606,NY,New York,Goldman Sachs Group,60,2,53922,8466,38300,Financials,no,no,no,yes,62,David M. Solomon,https://www.goldmansachs.com,GS,104183,40.6943,-73.9249,1
607,NY,New York,Macy&#8217;s,120,-2,25331,564,123000,Retailing,no,no,no,yes,118,Jeffrey Gennette,https://www.macysinc.com,M,1520.4,40.6943,-73.9249,1
608,NY,New York,International Flavors & Fragrances,540,0,5140.1,455.9,13668,Chemicals,,no,no,yes,NA,Andreas Fibig,https://www.iff.com,IFF,10902.4,40.6943,-73.9249,3
609,NY,New York,Take-Two Interactive Software,845,0,2668.4,333.8,4894,Media,,no,no,yes,NA,Strauss Zelnick,https://www.take2games.com,TTWO,18790,40.6943,-73.9249,5
610,NY,New York,Revlon,885,0,2419.6,-157.7,7100,Household Products,,no,yes,no,NA,Debra G. Perelman,https://www.revloninc.com,REV,580.1,40.6943,-73.9249,5
611,NY,New York,Griffon,944,0,2209.3,37.3,7300,Materials,,no,no,yes,NA,Ronald J. Kramer,https://www.griffon.com,GFF,593.4,40.6943,-73.9249,5
612,NY,New York,Hess,461,0,6510,-408,1775,Energy,no,no,no,no,461,John B. Hess,https://www.hess.com,HES,10163.6,40.6943,-73.9249,3
613,NY,New York,New Residential Investment,861,0,2585.6,563.3,3387,Financials,,no,no,yes,NA,Michael Nierenberg,https://www.newresi.com,NRZ,2081.9,40.6943,-73.9249,5
614,NY,New York,Apollo Global Management,754,0,3145.4,843.2,1421,Financials,,yes,no,yes,NA,Leon D. Black,https://www.apollo.com,APO,7738.9,40.6943,-73.9249,4
615,NY,New York,Assurant,315,63,10086.8,382.6,13900,Financials,no,no,no,yes,378,Alan B. Colberg,https://www.assurant.com,AIZ,6217.9,40.6943,-73.9249,2
616,NY,New York,Travelers Cos.,106,0,31581,2622,30800,Financials,no,no,no,yes,106,Alan D. Schnitzer,https://www.travelers.com,TRV,36735,40.6943,-73.9249,1
617,NY,New York,ABM Industries,462,1,6498.6,127.4,140000,Business Services,no,no,no,yes,463,Scott B. Salmirs,https://www.abm.com,ABM,1623.1,40.6943,-73.9249,3
618,NY,New York,CIT Group,732,0,3296.1,529.9,3609,Financials,,no,yes,yes,NA,Ellen R. Alemany,https://www.cit.com,CIT,1692,40.6943,-73.9249,4
619,NY,New York,Fox,280,0,11389,1595,7700,Media,yes,no,no,yes,NA,Lachlan K. Murdoch,https://www.foxcorporation.com,FOXA,14142.9,40.6943,-73.9249,2
620,NY,New York,Mutual of America Life Insurance,782,0,3004.7,-21.2,1202,Financials,,no,no,no,NA,John R. Greed,https://www.mutualofamerica.com,,,40.6943,-73.9249,4
621,NY,New York,Philip Morris International,107,3,29805,7185,73500,"Food, Beverages & Tobacco",no,no,no,yes,110,André Calantzopoulos,https://www.pmi.com,PM,119615,40.6943,-73.9249,1
622,NY,New York,National General Holdings,535,0,5179.6,348.1,9200,Financials,,no,no,yes,NA,Barry Karfunkel,https://www.nationalgeneral.com,,1881.9,40.6943,-73.9249,3
623,NY,New York,Estée Lauder,215,16,14863,1785,48000,Household Products,no,no,no,yes,231,Fabrizio Freda,https://www.elcompanies.com,EL,92289,40.6943,-73.9249,2
624,NY,New York,Equitable Holdings,333,0,9591,-1733,10100,Financials,yes,no,no,no,NA,Mark Pearson,https://www.equitableholdings.com,EQH,6706.9,40.6943,-73.9249,2
625,NY,New York,Coty,366,-32,8648.5,-3784.2,19000,Household Products,no,no,yes,no,334,Sue Y. Nabi,https://www.coty.com,COTY,3924.4,40.6943,-73.9249,2
626,NY,New York,Tiffany,604,0,4424,541.1,14100,Retailing,,no,no,yes,NA,Anthony Ledru,https://www.investor.tiffany.com,,15694.3,40.6943,-73.9249,4
627,NY,New York,Verizon Communications,20,-1,131868,19265,135000,Telecommunications,no,no,no,yes,19,Hans E. Vestberg,https://www.verizon.com,VZ,236948,40.6943,-73.9249,1
628,NY,New York,KKR,349,0,9120.3,2005,1384,Financials,yes,no,no,yes,NA,Henry R. Kravis/George R. Roberts,https://www.kkr.com,KKR,19912.6,40.6943,-73.9249,2
629,NY,New York,IAC/InterActiveCorp,568,0,4757.1,431.1,8700,Technology,,no,no,yes,NA,Joseph M. Levin,https://www.iac.com,IAC,15191.5,40.6943,-73.9249,3
630,NY,New York,Consolidated Edison,256,3,12574,1343,14890,Energy,no,no,no,yes,259,Timothy Cawley,https://www.conedison.com,ED,26034.5,40.6943,-73.9249,2
631,NY,New York,Ralph Lauren,469,4,6313,430.9,18650,Apparel,no,no,no,yes,473,Patrice Louvet,https://www.ralphlauren.com,RL,4928.3,40.6943,-73.9249,3
632,NY,New York,Newmark Group,941,0,2218.1,117.3,5600,Financials,,no,no,yes,NA,Barry M. Gosin,https://www.ngkf.com,NMRK,754,40.6943,-73.9249,5
633,NY,New York,Nasdaq,620,0,4262,774,4361,Financials,,no,yes,yes,NA,Adena T. Friedman,https://www.nasdaq.com,NDAQ,23370,40.6943,-73.9249,4
634,NY,Rochester,Paychex,662,0,3772.5,1034.4,15450,Business Services,,no,no,yes,NA,Martin Mucci,https://www.paychex.com,PAYX,32212,43.168,-77.6162,4
635,NY,Rye Brook,Xylem,530,0,5249,401,16300,Industrials,,no,no,yes,NA,Patrick K. Decker,https://www.xylem.com,XYL,11737.9,41.0303,-73.6865,3
636,NY,Tarrytown,Regeneron Pharmaceuticals,405,45,7863.4,2115.8,8100,Health Care,no,yes,no,yes,450,Leonard Schleifer,https://www.regeneron.com,REGN,61028,41.0647,-73.8673,3
637,NY,White Plains,ITT,815,0,2846.4,325.1,10500,Industrials,,no,no,yes,NA,Luca Savi,https://www.itt.com,ITT,3992.8,41.022,-73.7549,5
638,OH,Akron,Goodyear Tire & Rubber,216,-13,14745,-311,63000,Motor Vehicles & Parts,no,no,no,no,203,Richard J. Kramer,https://www.goodyear.com,GT,1354.2,41.0798,-81.5219,2
639,OH,Akron,FirstEnergy,294,-31,10850,912,12316,Energy,no,no,no,yes,263,Steven E. Strah,https://www.firstenergycorp.com,FE,21666.4,41.0798,-81.5219,2
640,OH,Avon Lake,PolyOne,724,0,3351.6,588.6,5600,Chemicals,,no,no,yes,NA,Robert M. Patterson,https://www.polyone.com,POL,1752.3,41.4945,-82.016,4
641,OH,Cincinnati,Ohio National Mutual,908,0,2340.5,-67.6,1109,Financials,,no,no,no,NA,Gary T. Huffman,https://www.ohionational.com,,,39.1413,-84.5061,5
642,OH,Cincinnati,Cintas,441,18,6892.3,885,45000,Business Services,no,no,no,yes,459,Scott D. Farmer,https://www.cintas.com,CTAS,18023.6,39.1413,-84.5061,3
643,OH,Cincinnati,Fifth Third Bancorp,325,59,9790,2512,19869,Financials,no,no,no,yes,384,Greg D. Carmichael,https://www.53.com,FITB,10560.3,39.1413,-84.5061,2
644,OH,Cincinnati,Procter & Gamble,50,-5,67684,3897,97000,Household Products,no,no,no,yes,45,David S. Taylor,https://www.pginvestor.com,PG,324875,39.1413,-84.5061,1
645,OH,Cincinnati,Kroger,23,-3,122286,1659,435000,Food & Drug Stores,no,no,no,yes,20,W. Rodney McMullen,https://www.thekrogerco.com,KR,25178,39.1413,-84.5061,1
646,OH,Cincinnati,Western & Southern Financial Group,401,20,7920.5,244.9,2787,Financials,no,no,no,yes,421,John F. Barrett,https://www.westernsouthern.com,,,39.1413,-84.5061,3
647,OH,Cincinnati,American Financial Group,383,44,8237,897,7700,Financials,no,no,no,yes,427,Carl H. Lindner lll/S. Craig Lindner,https://www.afginc.com,AFG,6331,39.1413,-84.5061,2
648,OH,Cleveland,Medical Mutual of Ohio,695,0,3502.7,83.7,2801,Financials,,no,no,yes,NA,Richard A. Chiricosta,https://www.medmutual.com,,,41.4767,-81.6804,4
649,OH,Cleveland,Aleris,715,0,3375.9,-11.8,5600,Materials,,no,no,no,NA,Sean M. Stack,https://www.aleris.com,,,41.4767,-81.6804,4
650,OH,Cleveland,Hyster-Yale Materials Handling,734,0,3291.8,35.8,7900,Industrials,,no,no,yes,NA,Alfred M. Rankin Jr.,https://www.hyster-yale.com,HY,672.8,41.4767,-81.6804,4
